"uniqID","yrint","yrborn","female","race","marital","educ","realrinc","health"
"ID_9620",1978,1943,1,1,1,12,3619,
"ID_9660",1978,1954,0,1,5,15,3619,
"ID_9661",1978,1944,1,1,1,12,8142,
"ID_9666",1978,1939,1,1,1,13,20355,
"ID_9696",1978,1934,1,1,1,16,20355,
"ID_9714",1978,1945,1,1,1,17,20355,
"ID_9743",1978,1935,0,1,1,14,24879,
"ID_9798",1978,1959,1,1,5,13,3619,
"ID_9809",1978,1943,0,1,1,12,9952,
"ID_9816",1978,1951,0,1,1,16,29402,
"ID_9847",1978,1940,1,1,1,11,3619,
"ID_9850",1978,1954,1,2,4,11,3619,
"ID_9860",1978,1942,1,1,5,12,16284,
"ID_9861",1978,1914,1,1,2,11,3619,
"ID_9901",1978,1919,0,1,1,12,24879,
"ID_9933",1978,1957,1,2,5,10,6333,
"ID_9939",1978,1942,0,1,1,14,33926,
"ID_9951",1978,1939,1,1,1,8,8142,
"ID_9959",1978,1930,0,2,3,10,3619,
"ID_9984",1978,1953,0,1,4,12,20355,
"ID_10010",1978,1954,0,2,5,16,42068,
"ID_10043",1978,1952,1,1,5,16,20355,
"ID_10049",1978,1918,0,1,3,10,20355,
"ID_10050",1978,1954,0,1,1,16,3619,
"ID_10051",1978,1920,1,1,2,12,24879,
"ID_10055",1978,1957,1,1,5,14,8142,
"ID_10061",1978,1915,0,1,1,12,42068,
"ID_10077",1978,1947,0,1,1,12,42068,
"ID_10105",1978,1926,0,1,1,20,67851,
"ID_10106",1978,1918,0,1,1,16,42068,
"ID_10213",1978,1924,0,1,1,8,29402,
"ID_10223",1978,1919,0,1,1,12,24879,
"ID_10236",1978,1945,1,1,1,10,13570,
"ID_10242",1978,1949,1,1,1,13,905,
"ID_10302",1978,1954,0,1,5,16,8142,
"ID_10305",1978,1925,1,1,5,12,16284,
"ID_10347",1978,1945,1,1,3,18,38449,
"ID_10383",1978,1927,0,1,2,9,6333,
"ID_10404",1978,1929,0,1,1,12,33926,
"ID_10416",1978,1930,0,1,3,20,67851,
"ID_10422",1978,1918,1,1,3,15,6333,
"ID_10426",1978,1947,0,1,1,12,20355,
"ID_10449",1978,1928,0,1,1,8,13570,
"ID_10458",1978,1924,0,1,1,11,11761,
"ID_10475",1978,1912,0,1,1,16,16284,
"ID_10498",1978,1933,0,1,1,20,67851,
"ID_10500",1978,1954,0,1,1,13,24879,
"ID_10532",1978,1949,0,1,1,12,13570,
"ID_10541",1978,1923,1,1,1,12,9952,
"ID_10567",1978,1949,1,1,5,17,20355,
"ID_10577",1978,1935,0,1,1,12,29402,
"ID_10607",1978,1941,0,1,1,9,29402,
"ID_10608",1978,1944,0,1,5,10,29402,
"ID_10652",1978,1940,1,1,1,12,13570,
"ID_10658",1980,1950,0,1,3,12,28323,2
"ID_10673",1980,1956,1,2,5,15,16994,2
"ID_10713",1980,1948,1,1,5,12,6798,4
"ID_10742",1980,1933,0,2,4,10,8308,2
"ID_10747",1980,1953,1,1,5,18,20770,4
"ID_10760",1980,1958,0,1,5,12,13595,4
"ID_10805",1980,1947,0,1,1,16,32100,4
"ID_10824",1980,1917,0,1,1,2,8308,4
"ID_10829",1980,1933,1,1,1,12,16994,2
"ID_10831",1980,1958,0,1,5,13,9819,3
"ID_10833",1980,1921,0,1,1,8,28323,3
"ID_10846",1980,1941,0,1,1,16,35121,3
"ID_10848",1980,1939,0,1,1,12,56647,4
"ID_10857",1980,1958,0,1,5,14,9819,4
"ID_10871",1980,1947,1,2,5,12,13595,3
"ID_10889",1980,1940,1,1,3,13,16994,3
"ID_10936",1980,1922,1,1,1,12,32100,4
"ID_10980",1980,1958,1,1,5,12,3021,4
"ID_10991",1980,1950,1,1,1,16,20770,4
"ID_10993",1980,1940,0,1,1,19,56647,4
"ID_11021",1980,1944,0,1,1,12,24547,4
"ID_11023",1980,1956,0,1,5,12,16994,4
"ID_11044",1980,1912,0,1,1,10,3021,3
"ID_11052",1980,1946,1,1,1,14,20770,3
"ID_11054",1980,1928,1,1,3,14,20770,2
"ID_11088",1980,1916,1,1,2,12,16994,4
"ID_11102",1980,1926,1,1,1,15,6798,4
"ID_11111",1980,1945,1,1,1,12,9819,4
"ID_11121",1980,1943,1,1,1,14,3021,3
"ID_11126",1980,1930,0,1,1,9,13595,3
"ID_11161",1980,1927,0,1,1,11,11329,3
"ID_11166",1980,1955,1,1,1,13,13595,4
"ID_11207",1980,1926,0,1,1,10,20770,3
"ID_11231",1980,1944,0,1,1,11,56647,4
"ID_11238",1980,1927,0,1,1,7,32100,3
"ID_11239",1980,1938,1,1,1,12,8308,3
"ID_11253",1980,1928,0,2,3,12,16994,4
"ID_11259",1980,1944,0,1,1,12,56647,3
"ID_11274",1980,1947,1,1,3,10,9819,3
"ID_11283",1980,1960,0,1,5,12,5287,4
"ID_11322",1980,1953,1,1,3,12,5287,3
"ID_11323",1980,1961,1,1,5,12,3021,3
"ID_11364",1980,1945,0,1,1,16,13595,4
"ID_11381",1980,1931,0,2,5,9,755,3
"ID_11384",1980,1926,0,1,1,11,24547,2
"ID_11399",1980,1945,1,1,1,14,3021,3
"ID_11400",1980,1948,1,1,1,12,3021,4
"ID_11405",1980,1951,0,1,1,12,13595,3
"ID_11422",1980,1918,1,1,5,8,8308,3
"ID_11474",1980,1946,0,2,1,12,13595,4
"ID_11481",1980,1961,0,1,5,11,755,4
"ID_11494",1980,1917,1,1,1,12,13595,4
"ID_11498",1980,1961,1,1,5,11,755,4
"ID_11511",1980,1921,0,1,1,10,20770,4
"ID_11581",1980,1943,1,1,3,12,13595,4
"ID_11582",1980,1941,1,2,1,13,8308,3
"ID_11593",1980,1921,1,1,2,9,11329,3
"ID_11629",1980,1943,1,1,5,16,56647,3
"ID_11653",1980,1956,1,1,1,14,28323,4
"ID_11674",1980,1951,0,1,5,7,3021,4
"ID_11693",1980,1916,0,1,1,12,32100,3
"ID_11697",1980,1942,0,1,1,16,56647,4
"ID_11721",1980,1960,1,1,1,12,5287,3
"ID_11746",1980,1931,1,2,3,18,5287,3
"ID_11764",1980,1949,0,1,3,13,35121,4
"ID_11804",1980,1928,1,1,1,12,16994,4
"ID_11805",1980,1924,1,1,1,16,16994,3
"ID_11814",1980,1926,1,1,3,12,32100,3
"ID_11818",1980,1943,0,1,1,18,56647,4
"ID_11826",1980,1945,0,1,1,12,20770,4
"ID_11840",1980,1959,0,1,5,14,28323,4
"ID_11841",1980,1923,0,1,3,14,35121,4
"ID_11846",1980,1947,1,1,3,13,16994,3
"ID_11869",1980,1959,0,1,5,12,16994,3
"ID_11872",1980,1950,1,1,1,12,20770,4
"ID_11876",1980,1956,0,1,3,14,13595,3
"ID_11905",1980,1943,1,1,5,16,28323,3
"ID_11918",1980,1947,0,1,1,19,56647,4
"ID_11926",1980,1932,0,1,3,12,32100,2
"ID_11931",1980,1922,0,1,1,12,16994,3
"ID_11935",1980,1956,0,1,5,12,20770,4
"ID_11979",1980,1923,1,1,1,15,139297,3
"ID_11987",1980,1935,0,1,1,9,56647,2
"ID_11992",1980,1948,1,2,5,12,11329,3
"ID_12005",1980,1946,1,2,4,18,35121,3
"ID_12007",1980,1947,0,2,1,12,16994,3
"ID_12008",1980,1953,1,2,1,12,3021,3
"ID_12040",1980,1915,0,1,1,10,24547,3
"ID_12042",1980,1945,0,1,1,17,24547,3
"ID_12055",1980,1959,1,1,5,7,3021,4
"ID_12082",1980,1955,0,1,1,12,9819,3
"ID_12083",1980,1914,0,1,1,8,6798,3
"ID_12120",1980,1956,0,1,5,12,8308,3
"ID_12121",1982,1941,0,1,1,9,22605,3
"ID_12141",1982,1962,1,1,5,14,2411,4
"ID_12157",1982,1933,1,1,1,12,4220,4
