"SubID","hsg","blk","hsp","nonint","mhs","mcol","fhs","fcol","adjinc","urb","empl","unem80","wtest","age"
"533",1,0,0,1,1,0,0,1,0.1782,0,1,4.7,0.665,22
"534",1,0,0,0,1,0,0,0,0.5081,0,2,4.7,-1.098,21
"537",1,0,0,0,0,1,0,1,0.8944,0,2,5.4,0.687,22
"549",1,0,0,0,0,0,0,0,0.5367,0,0,4.1,-0.618,20
"550",1,0,0,0,1,0,1,0,0.51,0,1,6.1,0.856,22
"558",1,0,0,0,0,1,0,1,0.2828,1,1,6.3,0.546,22
"564",0,0,0,0,0,0,0,0,0.1191,0,1,6.1,-1.505,22
"565",1,0,0,0,1,0,1,0,1.725,0,1,12.2,0.36,22
"567",1,0,0,0,1,0,0,0,0.2907,0,2,4.9,1.006,22
"568",1,0,0,0,1,0,0,0,0.75,0,1,6.9,0.506,22
"569",1,0,0,0,0,0,0,0,0.3969,0,0,6.9,0.084,21
"579",1,1,0,0,0,0,0,0,0.6973,1,1,6,-0.434,21
"584",1,0,0,0,0,0,1,0,1.0607,1,1,6.9,0.529,22
"588",1,0,0,1,1,0,0,1,0.6505,1,1,6.8,0.957,22
"590",1,0,0,1,1,0,1,0,0.2557,1,1,5.2,0.028,21
"595",1,0,1,0,0,0,1,0,0.4899,1,2,8,-1.351,21
"597",1,0,1,0,0,0,0,1,0.8165,1,0,8,-0.365,22
"600",1,1,0,0,1,0,0,0,1.25,1,2,6.9,-0.031,22
"604",0,0,1,1,0,0,0,0,0.1159,1,0,11.4,-1.741,21
"609",1,1,0,0,0,0,0,0,0.3801,1,0,6.9,-1.132,22
"610",1,1,0,1,0,0,0,0,0.2096,1,0,8.4,-0.041,22
"625",0,1,0,1,0,0,0,0,0.1134,1,1,4.4,-1.63,22
"626",1,1,0,0,1,0,0,0,0.1342,1,2,6.8,-0.649,22
"628",1,1,0,0,0,0,0,0,0.1732,1,2,6.8,-1.139,21
"630",0,1,0,0,1,0,0,0,0.5276,1,0,6.8,-1.085,22
"634",1,1,0,1,0,0,1,0,0.1633,1,0,6.7,-0.465,22
"638",1,1,0,1,0,0,0,0,0.3415,0,2,6.9,-0.61,22
"641",1,1,0,1,0,0,1,0,0.2574,0,1,10.2,-1.802,20
"643",0,1,0,1,1,0,1,0,0.3266,0,2,5.8,-1.426,20
"648",1,0,0,0,0,0,0,0,0.3005,1,1,7.6,-0.931,21
"654",1,1,0,1,0,0,0,0,0.2035,1,2,6.9,-1.13,22
"660",0,0,1,0,0,0,1,0,0.3264,1,0,9.2,-1.084,22
"670",1,1,0,1,1,0,1,0,0.2114,1,1,7.3,1.055,22
"676",1,0,1,0,0,0,0,0,0.5411,1,0,6.9,0.337,21
"681",1,0,1,0,1,0,0,0,0.313,1,2,5.7,0.016,21
"683",1,1,0,0,0,0,1,0,0.7634,1,1,5.1,0.048,22
"686",1,1,0,0,0,0,1,0,0.7757,1,0,5.6,-1.769,20
"690",0,1,0,1,0,0,0,0,0.8083,1,2,9.5,-1.12,21
"705",1,1,0,0,1,0,0,1,0.75,1,0,6,0.268,20
"715",1,1,0,0,0,0,1,0,0,1,2,5.9,-1.475,21
"719",0,0,0,1,0,0,0,0,0.45,1,0,5.2,-1.309,21
"720",1,1,0,1,0,0,0,0,0.5774,1,1,5.2,-1.704,22
"722",0,0,0,1,1,0,1,0,0.65,1,1,5,-0.927,21
"728",1,1,0,0,0,1,0,1,1.2522,1,2,5.7,-1.501,21
"730",1,1,0,0,0,0,0,0,0.5485,1,1,6.3,-0.139,21
"732",1,1,0,0,0,1,1,0,0.9,1,2,6.3,-0.802,21
"737",1,1,0,0,0,0,0,0,0.5667,1,0,6.9,-1.01,21
"746",0,1,0,1,0,0,0,0,0.25,1,0,3.4,-1.989,22
"752",1,0,1,0,0,0,0,0,0.5,1,1,10.2,-1.475,21
"757",0,0,1,0,0,0,0,0,0.3266,1,1,8.9,-0.607,22
"764",1,0,1,0,0,0,1,0,1.3856,1,1,4.1,-0.847,22
"766",0,0,1,0,1,0,0,0,0.6,1,1,4.1,-1.498,21
"774",1,0,0,0,0,0,0,0,0.4025,1,2,6,-0.952,21
"782",1,0,1,0,0,0,0,0,0.9942,1,2,6.9,0.118,22
"785",1,0,1,0,0,0,1,0,0.805,0,2,10.2,0.401,21
"791",1,0,0,0,0,1,0,0,0.378,1,2,6,-0.315,22
"792",1,1,0,0,1,0,1,0,0.3674,1,2,6.8,-1.294,22
"795",1,1,0,1,0,0,0,0,0.2828,1,2,9.1,-1.295,21
"797",1,1,0,0,0,0,0,0,0.1809,1,2,9.1,-1.497,22
"800",1,1,0,0,1,0,0,1,0.5292,0,1,6.9,0.037,22
"805",1,1,0,0,1,0,0,0,0.4919,1,2,6.9,-0.453,22
"814",1,0,1,0,0,0,0,1,0.3162,1,2,8,-0.466,20
"822",1,0,0,0,0,0,0,0,0.2245,1,2,8.1,-0.109,22
"825",0,0,1,1,0,0,0,0,0.2244,1,0,8.4,-0.766,21
"826",1,1,0,1,1,0,0,1,1.2522,1,2,14.3,-1.016,21
"829",1,1,0,1,0,0,0,0,0.1821,0,2,9.8,0.541,22
"845",1,1,0,0,1,0,1,0,0.4025,1,2,9,-1.811,20
"853",1,0,1,1,0,0,0,0,1.0205,1,1,6.4,-1.049,22
"857",1,1,0,0,0,0,0,0,0.5715,1,1,11.1,-1.014,21
"865",1,1,0,1,1,0,1,0,0.35,1,2,9,-0.131,22
"868",1,1,0,1,0,1,0,0,0.4491,1,2,3,0.406,22
"869",1,0,1,0,0,0,0,0,0.7155,1,1,3.4,-1.078,21
"875",0,0,1,0,1,0,0,1,0.5339,1,0,10.2,-0.288,22
"903",1,0,1,0,0,1,0,1,1.0206,0,0,12,1.447,22
"904",1,1,0,0,0,0,0,0,0.4082,0,2,4.3,-1.347,22
"905",1,1,0,0,1,0,0,1,0.298,1,2,3.9,-1.432,21
"907",1,1,0,0,0,0,0,0,0.2828,1,2,8.6,-1.489,21
"912",1,1,0,0,0,0,0,0,0.3402,0,2,5.8,-1.206,21
"915",1,0,0,1,0,0,1,0,0.4,1,0,6.9,-0.057,21
"922",1,1,0,1,0,0,0,0,0.3402,1,1,6.9,-0.37,21
"935",0,1,0,1,1,0,1,0,0.65,1,2,7.5,-1.145,21
"946",1,0,0,0,1,0,1,0,0.8333,0,1,8.5,1.297,22
"954",1,0,1,1,1,0,1,0,0.9815,1,1,7.5,1.109,22
"955",1,0,0,0,1,0,0,1,1,1,2,4.6,0.794,21
"957",1,0,0,1,0,0,0,1,1.05,1,0,11.1,0.958,21
"970",0,0,0,1,0,1,0,0,0.1541,1,1,8.4,-0.985,21
"975",1,1,0,1,1,0,0,0,0.0495,1,0,6.9,-0.625,22
