"SubID","hsg","blk","hsp","nonint","mhs","mcol","fhs","fcol","adjinc","urb","empl","unem80","wtest","age"
"433",1,0,0,1,0,0,1,0,0.7615,1,2,6.2,0.061,21
"434",1,0,0,0,1,0,0,1,1,1,2,3.7,1.596,22
"436",1,0,0,1,1,0,1,0,0.6261,1,0,3.6,0.947,21
"437",1,0,0,0,1,0,0,1,0.4472,1,1,3.6,0.238,21
"438",1,0,0,0,0,1,0,1,1.5,1,1,3.6,0.674,22
"440",0,1,0,0,0,0,0,0,0.3182,1,0,3.6,-1.079,20
"441",1,1,0,1,0,0,0,0,0.7217,1,2,5.4,-0.972,22
"442",1,0,0,1,1,0,1,0,0.6261,1,0,6.9,1.001,21
"445",0,0,0,0,0,0,0,0,0.6708,1,1,6.6,0,21
"446",1,0,0,0,1,0,0,0,1.0286,1,1,6.6,-0.574,21
"447",0,0,0,0,0,1,1,0,1,1,0,6.6,0.222,21
"451",1,1,0,1,0,0,0,0,0.5367,1,1,6,0.941,22
"454",1,0,0,1,1,0,1,0,0.5774,1,0,6.9,0.041,22
"455",1,0,0,0,1,0,0,1,1.5652,1,1,10.2,0.513,22
"456",1,0,0,1,1,0,1,0,0.87,1,2,6.9,1.214,22
"457",1,1,0,1,1,0,0,1,0.6,1,2,5.8,0.48,21
"459",0,0,0,0,1,0,0,1,0.3062,1,0,7,-1.791,22
"460",1,0,0,0,1,0,1,0,0.6708,1,1,7,-0.423,21
